Dataset,TimeMicroseconds,NumberPallets
Dataset1,78,9
Dataset2,90,14
Dataset3,58,9
Dataset4,1282,33
Dataset5,23,30
Dataset6,329277,4094
Dataset7,1022,14
Dataset8,589,14
Dataset9,123,16
Dataset10,3,2
